rotulo;acc_sessao1;crossval_sessao1_media;crossval_sessao1_std;acc_sessao2;crossval_sessao2_media;crossval_sessao2_std;acc_media;crossval_medio;crossval_std_medio
Sujeito 1;100;94.88;6.1;95.74;96.55;2.22;97.87;95.715;4.16
Sujeito 2;95.74;92.29;8.97;97.87;97.43;2.1;96.81;94.86;5.535
Sujeito 3;93.62;86.65;4.16;100;93.98;5.29;96.81;90.315;4.725
Sujeito 4;100;99.15;1.04;95.74;85.79;2.86;97.87;92.47;1.95
Sujeito 5;97.87;96.57;2.17;97.87;97.42;1.61;97.87;96.995;1.89
Sujeito 6;95.74;93.53;4.27;80.85;86.24;6.09;88.3;89.885;5.18
Sujeito 7;97.87;95.73;5.38;97.87;97.01;3.94;97.87;96.37;4.66
Sujeito 8;93.62;91.88;7.4;97.87;90.49;4.69;95.74;91.185;6.045
Sujeito 9;100;96.13;3.15;97.87;94.01;4.72;98.94;95.07;3.935
Sujeito 10;95.74;90.09;2.92;100;96.55;2.22;97.87;93.32;2.57
Sujeito 11;95.74;96.16;4.74;97.87;91.81;2.82;96.81;93.985;3.78
Sujeito 12;87.23;93.14;4.32;93.62;89.3;8.78;90.43;91.22;6.55
Sujeito 13;100;96.56;2.88;93.62;90.14;7.17;96.81;93.35;5.025
Sujeito 14;91.49;93.52;5.82;91.49;90.13;4.53;91.49;91.825;5.175
Sujeito 15;100;94.84;3.73;95.74;91.43;7.83;97.87;93.135;5.78
Sujeito 16;76.6;75.86;9.22;85.11;86.63;3.45;80.85;81.245;6.335
Sujeito 17;100;99.15;1.7;97.87;97.85;2.71;98.94;98.5;2.205
Sujeito 18;91.49;90.98;4.11;100;97.4;2.13;95.74;94.19;3.12
Sujeito 19;97.87;94.42;4.76;93.62;91.38;3.88;95.74;92.9;4.32
Sujeito 20;89.36;90.09;1.67;93.62;85.36;2.03;91.49;87.725;1.85
Média;95;93.08;4.43;95.21;92.35;4.05;95.11;92.715;4.24
