rotulo;acc_sessao1;crossval_sessao1_media;crossval_sessao1_std;acc_sessao2;crossval_sessao2_media;crossval_sessao2_std;acc_media;crossval_medio;crossval_std_medio
Sujeito 1;91.49;93.56;4.85;95.74;93.55;4.08;93.62;93.555;4.465
Sujeito 2;95.74;84.14;9.78;93.62;91.85;5.09;94.68;87.995;7.435
Sujeito 3;72.34;69.07;11.9;95.74;91.4;6.01;84.04;80.235;8.955
Sujeito 4;100;97.42;0.84;85.11;85.3;6.08;92.55;91.36;3.46
Sujeito 5;93.62;93.99;3.14;95.74;92.66;3.79;94.68;93.325;3.465
Sujeito 6;91.49;89.22;3.6;85.11;87.95;6.01;88.3;88.585;4.805
Sujeito 7;89.36;86.63;5.55;97.87;92.27;2.84;93.62;89.45;4.195
Sujeito 8;95.74;87.57;7.95;87.23;85.72;7.38;91.49;86.645;7.665
Sujeito 9;97.87;97.41;3.2;91.49;89.67;1.53;94.68;93.54;2.365
Sujeito 10;85.11;88.37;5.74;95.74;91.37;4.36;90.43;89.87;5.05
Sujeito 11;89.36;89.25;5.85;95.74;91.86;7.03;92.55;90.555;6.44
Sujeito 12;91.49;90.11;5.48;74.47;80.27;11.28;82.98;85.19;8.38
Sujeito 13;97.87;97.41;0.88;87.23;89.21;2.38;92.55;93.31;1.63
Sujeito 14;100;87.06;6.39;80.85;87.09;2.25;90.43;87.075;4.32
Sujeito 15;95.74;90.07;3.77;82.98;86.26;9.58;89.36;88.165;6.675
Sujeito 16;78.72;72.01;7.26;80.85;83.59;3.37;79.79;77.8;5.315
Sujeito 17;100;97.44;2.48;87.23;93.15;4.72;93.62;95.295;3.6
Sujeito 18;91.49;86.22;4.85;91.49;87.91;4.29;91.49;87.065;4.57
Sujeito 19;91.49;91.02;7.14;85.11;84.05;5.2;88.3;87.535;6.17
Sujeito 20;87.23;83.62;3.52;80.85;79.31;6.25;84.04;81.465;4.885
Média;91.81;88.58;5.21;88.51;88.22;5.18;90.16;88.4;5.195
